goodForGroups,city,state,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,caters
1,Surprise,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Mesa,AZ,FALSE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Tempe,AZ,FALSE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Casa Grande,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Urbana,IL,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Waterloo,ON,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Scottsdale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Casa Grande,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Henderson,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Fort Mill,SC,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Madison,WI,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Scottsdale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Sun City,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Chandler,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Phoenix,AZ,FALSE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Peoria,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Phoenix,AZ,FALSE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
0,Madison,WI,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Scottsdale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
0,Madison,WI,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Pineville,NC,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Surprise,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Pittsburgh,PA,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
0,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Surprise,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
0,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Phoenix,AZ,FALSE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
0,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Chandler,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
0,Montral,QC,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
0,Madison,WI,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Tolleson,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Henderson,NV,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Maricopa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Maricopa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Chandler,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Glendale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Chandler,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Monona,WI,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,North Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Avondale,AZ,FALSE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Glendale,AZ,FALSE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Charlotte,NC,FALSE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Monona,WI,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
